GS,BB,RBI,R,HR,InnOuts,ADJ Salary,ADJ Salary Group
82.0,20,36.0,47,4,2073.0,631373,0
21.0,8,7.0,13,1,589.0,146102,0
87.0,32,14.0,23,1,2345.0,1356670,1
37.0,6,23.0,13,3,1040.0,141928,0
112.0,46,74.0,49,15,3006.0,448744,0
84.0,25,34.0,43,12,2337.0,177410,0
87.0,34,23.0,16,3,2312.0,365257,0
35.0,10,11.0,10,2,984.0,141928,0
74.0,13,34.0,36,7,2120.0,146102,0
76.0,25,29.0,40,6,1981.0,323513,0
51.0,24,13.0,40,3,1589.0,480052,0
22.0,13,13.0,13,3,622.0,667899,0
25.0,7,8.0,7,1,773.0,573976,0
103.0,23,17.0,30,3,2707.0,490488,0
42.0,12,37.0,22,7,1089.0,141928,0
147.0,68,45.0,83,5,3977.0,260898,0
155.0,39,105.0,84,35,4093.0,3402112,1
16.0,30,29.0,21,8,472.0,203500,0
152.0,41,21.0,50,0,3987.0,177410,0
5.0,2,0.0,4,0,120.0,156538,0
144.0,62,64.0,49,13,3798.0,2008916,1
55.0,24,33.0,27,8,1563.0,166974,0
127.0,25,22.0,33,3,3323.0,782694,0
127.0,27,24.0,56,7,3323.0,782694,0
148.0,83,55.0,75,12,3993.0,1461029,1
57.0,9,13.0,10,1,1529.0,417437,0
122.0,23,59.0,49,18,3302.0,709643,0
0.0,6,5.0,2,1,21.0,313077,0
106.0,44,37.0,38,7,2703.0,913143,0
57.0,14,11.0,33,1,1596.0,156538,0
107.0,24,43.0,38,10,2848.0,887053,0
103.0,46,47.0,45,7,2689.0,1729381,1
63.0,47,46.0,44,11,1566.0,3318624,1
36.0,27,35.0,34,5,954.0,3095991,1
36.0,4,10.0,11,1,954.0,3095991,1
45.0,17,39.0,15,9,1172.0,407001,0
116.0,84,18.0,77,1,3065.0,918361,0
74.0,17,15.0,16,3,1882.0,897489,0
74.0,13,14.0,20,3,1882.0,897489,0
55.0,17,14.0,16,1,1497.0,141928,0
118.0,45,43.0,54,5,3032.0,2295904,1
137.0,89,85.0,77,28,3534.0,2139365,1
71.0,18,23.0,29,6,1820.0,245244,0
16.0,9,7.0,7,4,433.0,141928,0
81.0,29,44.0,42,5,2195.0,1961954,1
124.0,49,60.0,64,13,3326.0,162800,0
159.0,51,72.0,71,10,4244.0,269246,0
153.0,69,89.0,87,34,4133.0,2264596,1
131.0,59,58.0,65,8,3471.0,1947344,1
99.0,45,27.0,41,0,2583.0,1982826,1
137.0,29,54.0,46,6,3688.0,2191544,1
38.0,19,14.0,16,2,1177.0,1252311,1
4.0,7,3.0,7,0,136.0,313077,0
25.0,7,16.0,15,2,768.0,730514,0
15.0,7,9.0,19,0,566.0,141928,0
136.0,74,38.0,71,0,3761.0,313077,0
127.0,49,43.0,33,1,3246.0,1842986,1
105.0,59,80.0,67,12,2719.0,4184806,1
20.0,6,16.0,7,1,524.0,834874,0
110.0,37,59.0,64,9,3006.0,250462,0
109.0,39,105.0,86,32,2862.0,1273183,1
34.0,7,19.0,13,2,1016.0,147146,0
25.0,7,5.0,21,3,806.0,177410,0
159.0,102,48.0,78,4,4168.0,709643,0
124.0,42,54.0,52,7,3265.0,960105,0
63.0,37,42.0,36,2,1536.0,1721928,1
73.0,69,62.0,54,18,1813.0,2160236,1
52.0,7,12.0,30,2,1600.0,323513,0
126.0,30,36.0,34,2,3172.0,2087185,1
95.0,27,43.0,58,3,2495.0,4408563,1
23.0,14,9.0,14,2,637.0,141928,0
30.0,17,14.0,15,1,998.0,876617,0
41.0,16,19.0,21,5,1097.0,2061095,1
38.0,30,16.0,16,4,1138.0,876617,0
59.0,0,8.0,9,0,1615.0,417437,0
59.0,8,13.0,23,3,1615.0,417437,0
66.0,35,28.0,35,9,1736.0,2782913,1
62.0,23,18.0,31,3,1845.0,187846,0
126.0,29,29.0,49,0,3385.0,2087185,1
13.0,2,7.0,8,0,361.0,166974,0
140.0,20,56.0,45,12,3775.0,313077,0
73.0,9,11.0,17,2,2178.0,148190,0
73.0,11,15.0,19,1,2178.0,148190,0
51.0,13,25.0,18,2,1264.0,939233,0
98.0,33,42.0,41,11,2566.0,2295904,1
159.0,87,88.0,66,20,4264.0,4865358,1
139.0,71,36.0,62,2,3722.0,1826287,1
121.0,52,44.0,40,10,3192.0,2295904,1
2.0,4,5.0,2,0,108.0,187846,0
86.0,25,12.0,28,1,2485.0,1147952,1
22.0,16,15.0,11,4,604.0,720078,0
0.0,0,6.0,3,0,5.0,3861293,1
79.0,32,26.0,33,1,1967.0,1565389,1
104.0,48,54.0,60,14,2698.0,1147952,1
52.0,15,33.0,23,8,1283.0,902707,0
0.0,28,23.0,34,3,3.0,417437,0
0.0,1,2.0,1,0,3.0,417437,0
125.0,25,75.0,63,19,3211.0,5009245,1
130.0,17,48.0,69,9,3433.0,1189695,1
110.0,23,46.0,69,8,2898.0,1273183,1
14.0,1,4.0,6,0,401.0,141928,0
87.0,13,57.0,43,8,2339.0,307859,0
86.0,53,84.0,59,25,2203.0,3256009,1
85.0,54,46.0,61,6,2161.0,302641,0
57.0,25,27.0,24,6,1553.0,1461029,1
49.0,19,31.0,33,1,1630.0,375693,0
114.0,59,38.0,62,0,3074.0,375693,0
154.0,41,85.0,75,9,3985.0,4174370,1
3.0,0,0.0,3,0,111.0,141928,0
123.0,42,66.0,77,15,3329.0,427873,0
93.0,43,52.0,40,12,2466.0,1461029,1
0.0,0,0.0,0,0,0.0,511360,0
123.0,60,65.0,72,26,3191.0,1586260,1
75.0,23,23.0,50,3,2145.0,203500,0
37.0,8,23.0,26,3,1123.0,511360,0
109.0,21,34.0,51,0,2859.0,1878466,1
14.0,12,29.0,13,7,297.0,198282,0
127.0,64,56.0,84,11,3274.0,4383089,1
61.0,21,35.0,22,6,1587.0,187846,0
44.0,6,14.0,15,0,1299.0,271334,0
91.0,27,32.0,34,5,2319.0,187846,0
90.0,21,33.0,44,4,2454.0,141928,0
104.0,25,55.0,42,5,2785.0,386129,0
21.0,13,23.0,18,5,479.0,141928,0
144.0,63,103.0,101,21,3695.0,2400263,1
28.0,19,12.0,12,1,845.0,422655,0
139.0,39,70.0,56,14,3492.0,1982826,1
73.0,35,42.0,33,7,2060.0,699207,0
99.0,45,39.0,34,7,2690.0,667899,0
142.0,48,85.0,76,23,3866.0,1805415,1
46.0,15,18.0,26,3,1228.0,417437,0
19.0,12,2.0,16,1,493.0,141928,0
27.0,6,13.0,21,6,909.0,187846,0
13.0,7,17.0,9,2,338.0,369431,0
91.0,27,27.0,41,3,2487.0,386129,0
52.0,33,21.0,41,0,1678.0,370475,0
140.0,76,41.0,52,6,3637.0,1179259,1
138.0,93,60.0,76,9,3674.0,4393293,1
83.0,24,31.0,30,5,2219.0,205587,0
152.0,58,77.0,76,13,4073.0,1982826,1
11.0,3,3.0,2,0,294.0,171149,0
40.0,11,14.0,14,4,1149.0,991413,0
144.0,14,41.0,51,0,3670.0,141928,0
56.0,12,27.0,26,9,1463.0,146102,0
64.0,21,58.0,54,17,1685.0,1930646,1
145.0,56,22.0,41,3,3813.0,4424833,1
145.0,70,35.0,72,9,3813.0,4424833,1
34.0,0,1.0,1,0,885.0,187846,0
34.0,4,20.0,19,4,885.0,187846,0
133.0,41,48.0,65,9,3485.0,166974,0
2.0,0,0.0,0,0,54.0,198282,0
142.0,51,113.0,79,23,3719.0,4591808,1
8.0,2,1.0,2,0,213.0,141928,0
101.0,19,16.0,19,4,2643.0,1200131,1
101.0,18,14.0,12,3,2643.0,1200131,1
5.0,27,29.0,26,7,141.0,1367106,1
5.0,4,0.0,0,0,141.0,1367106,1
24.0,3,0.0,0,0,647.0,141928,0
24.0,0,1.0,1,1,647.0,141928,0
24.0,9,9.0,5,0,647.0,141928,0
158.0,52,63.0,88,5,4055.0,2400263,1
93.0,30,38.0,34,5,2481.0,1356670,1
29.0,7,11.0,12,2,784.0,151320,0
54.0,3,1.0,3,0,1561.0,141928,0
54.0,21,29.0,24,9,1561.0,141928,0
26.0,12,16.0,20,6,758.0,146102,0
42.0,12,15.0,14,2,1110.0,4588827,1
128.0,23,13.0,27,3,3351.0,1200131,1
128.0,37,19.0,39,4,3351.0,1200131,1
134.0,34,55.0,52,10,3622.0,292205,0
55.0,27,19.0,18,4,1421.0,4174370,1
127.0,39,56.0,72,12,3405.0,209762,0
151.0,77,101.0,104,36,3961.0,1612350,1
61.0,11,27.0,15,3,1668.0,240026,0
93.0,49,41.0,47,4,2546.0,354821,0
11.0,17,7.0,10,2,367.0,730514,0
11.0,17,11.0,12,4,367.0,730514,0
143.0,46,85.0,74,22,3771.0,4104796,1
32.0,5,7.0,15,1,912.0,177410,0
0.0,0,8.0,2,0,33.0,302641,0
48.0,7,22.0,17,1,1260.0,198282,0
128.0,61,77.0,69,29,3287.0,3120342,1
58.0,32,15.0,27,2,1580.0,1231439,1
102.0,10,18.0,22,3,2934.0,2087185,1
102.0,3,17.0,32,2,2934.0,2087185,1
20.0,0,11.0,8,0,530.0,147146,0
31.0,8,4.0,22,1,856.0,141928,0
55.0,23,57.0,40,17,1418.0,3339496,1
118.0,35,30.0,45,3,3072.0,433090,0
70.0,24,23.0,29,5,1860.0,1252311,1
145.0,54,80.0,77,15,3895.0,1774107,1
80.0,31,28.0,42,1,2329.0,370475,0
141.0,51,52.0,81,2,3694.0,2869880,1
139.0,83,95.0,74,33,3694.0,1065508,1
1.0,38,97.0,56,22,24.0,2348083,1
124.0,58,47.0,48,4,3395.0,939233,0
98.0,9,17.0,31,1,2569.0,380911,0
98.0,16,29.0,39,2,2569.0,380911,0
114.0,30,42.0,37,7,3026.0,730514,0
71.0,21,21.0,30,3,1953.0,375693,0
106.0,52,44.0,29,8,2896.0,594847,0
35.0,14,13.0,26,1,1031.0,834874,0
17.0,16,13.0,13,1,643.0,231677,0
80.0,0,0.0,0,0,2111.0,141928,0
80.0,11,43.0,26,8,2111.0,141928,0
150.0,101,78.0,93,26,3919.0,2713341,1
142.0,54,37.0,65,2,3639.0,1721928,1
122.0,4,19.0,14,2,3061.0,480052,0
122.0,22,46.0,41,11,3061.0,480052,0
69.0,45,25.0,28,4,2001.0,542668,0
9.0,9,4.0,7,2,253.0,154451,0
132.0,23,75.0,63,12,3492.0,198282,0
47.0,12,14.0,9,2,1167.0,584411,0
36.0,29,27.0,20,9,911.0,834874,0
10.0,6,0.0,1,0,232.0,240026,0
133.0,18,20.0,32,8,3440.0,3026418,1
133.0,24,28.0,37,3,3440.0,3026418,1
118.0,33,60.0,45,15,3072.0,1252311,1
47.0,8,8.0,10,0,1256.0,469616,0
70.0,19,27.0,33,2,1948.0,177410,0
146.0,93,58.0,96,19,4014.0,751386,0
161.0,76,86.0,96,24,4355.0,1544517,1
13.0,12,4.0,3,0,287.0,1064464,1
23.0,35,9.0,18,0,684.0,318295,0
31.0,17,15.0,12,2,897.0,177410,0
112.0,30,44.0,49,3,3051.0,1033156,1
112.0,0,7.0,10,1,3051.0,1033156,1
55.0,20,19.0,31,5,1467.0,141928,0
59.0,29,23.0,15,2,1568.0,1007066,1
143.0,39,48.0,52,2,3903.0,375693,0
25.0,2,2.0,2,0,797.0,1513209,1
25.0,8,15.0,17,2,797.0,1513209,1
65.0,20,22.0,16,1,1783.0,626155,0
73.0,40,33.0,42,6,1971.0,1043592,1
83.0,34,48.0,45,6,2312.0,887053,0
118.0,47,53.0,64,9,3210.0,4487448,1
108.0,32,49.0,42,9,2881.0,1565389,1
108.0,5,15.0,8,2,2881.0,1565389,1
23.0,5,14.0,13,2,734.0,161756,0
157.0,53,56.0,82,7,4198.0,313077,0
141.0,132,94.0,76,26,3578.0,4174370,1
3.0,1,1.0,5,0,123.0,161756,0
29.0,13,8.0,9,0,667.0,834874,0
157.0,56,62.0,82,4,4138.0,2382870,1
40.0,6,8.0,7,1,1259.0,187846,0
40.0,7,12.0,10,3,1259.0,187846,0
98.0,17,6.0,7,3,2433.0,939233,0
98.0,27,38.0,46,5,2433.0,939233,0
62.0,32,39.0,23,6,1720.0,1022720,1
36.0,8,21.0,12,7,992.0,208718,0
62.0,11,5.0,4,0,1626.0,772258,0
62.0,31,21.0,33,8,1626.0,772258,0
79.0,49,25.0,81,3,2138.0,154451,0
74.0,11,22.0,27,8,2274.0,834874,0
74.0,4,12.0,7,1,2274.0,834874,0
122.0,26,62.0,50,16,3263.0,720078,0
136.0,23,40.0,43,6,3579.0,1461029,1
78.0,12,35.0,19,6,2296.0,730514,0
78.0,1,4.0,8,1,2296.0,730514,0
15.0,25,59.0,33,17,411.0,1669748,1
64.0,21,37.0,21,3,1730.0,688771,0
96.0,39,52.0,52,13,2565.0,141928,0
57.0,19,33.0,27,9,1468.0,166974,0
122.0,27,59.0,54,10,3248.0,1168823,1
66.0,12,33.0,44,9,1869.0,521796,0
125.0,101,95.0,84,21,3232.0,2922059,1
26.0,7,7.0,9,1,717.0,161756,0
120.0,44,61.0,61,16,3179.0,141928,0
25.0,38,93.0,69,24,645.0,2087185,1
104.0,21,41.0,42,12,2741.0,1241875,1
148.0,55,43.0,87,0,3895.0,1325362,1
91.0,29,34.0,32,7,2356.0,657463,0
131.0,28,20.0,45,1,3372.0,141928,0
0.0,0,6.0,3,0,36.0,157582,0
149.0,59,36.0,100,4,3880.0,1878466,1
157.0,74,111.0,104,23,4122.0,2348083,1
53.0,5,12.0,5,0,1516.0,626155,0
53.0,16,26.0,17,3,1516.0,626155,0
102.0,35,34.0,19,5,2619.0,1774107,1
26.0,7,17.0,12,4,901.0,141928,0
83.0,37,41.0,39,9,2309.0,1878466,1
54.0,11,18.0,14,0,1531.0,162800,0
148.0,87,125.0,100,47,3880.0,1273183,1
31.0,11,15.0,23,1,1048.0,213936,0
75.0,28,40.0,43,7,1940.0,980977,0
4.0,5,2.0,7,0,242.0,887053,0
144.0,51,50.0,91,13,3742.0,1118731,1
146.0,34,30.0,34,1,3644.0,1434940,1
76.0,14,50.0,31,18,2014.0,198282,0
150.0,59,85.0,67,20,3932.0,2588110,1
134.0,50,28.0,94,2,3584.0,1617568,1
2.0,2,1.0,2,0,132.0,365257,0
160.0,79,117.0,60,17,3865.0,3826506,1
14.0,7,7.0,11,0,509.0,146102,0
47.0,10,17.0,23,3,1231.0,2922059,1
16.0,4,14.0,8,2,592.0,198282,0
162.0,79,48.0,59,1,4270.0,1095772,1
18.0,6,3.0,3,0,572.0,187846,0
125.0,35,37.0,36,4,3262.0,2546366,1
159.0,44,74.0,83,13,4173.0,1481901,1
152.0,55,50.0,82,2,4009.0,4675295,1
139.0,39,68.0,60,4,3655.0,1054028,1
11.0,14,11.0,9,1,417.0,1283619,1
0.0,0,0.0,0,0,2.0,1826287,1
21.0,9,8.0,7,1,561.0,141928,0
24.0,60,56.0,55,13,582.0,2513557,1
24.0,13,16.0,18,3,582.0,2513557,1
138.0,36,59.0,60,16,3712.0,897489,0
16.0,11,10.0,15,1,498.0,141928,0
109.0,38,31.0,65,3,3013.0,203500,0
138.0,38,22.0,47,0,3663.0,2504622,1
138.0,26,21.0,30,1,3663.0,2504622,1
139.0,66,92.0,80,13,3598.0,2713341,1
116.0,32,81.0,48,21,3088.0,991413,0
58.0,27,9.0,16,5,1583.0,151320,0
81.0,20,29.0,39,8,2169.0,166974,0
33.0,32,23.0,32,1,844.0,730514,0
36.0,17,23.0,18,4,931.0,678335,0
162.0,43,119.0,101,29,4243.0,730514,0
46.0,0,3.0,8,1,1198.0,141928,0
46.0,11,10.0,19,3,1198.0,141928,0
20.0,12,11.0,9,1,549.0,198282,0
53.0,23,8.0,13,2,1372.0,991413,0
145.0,5,11.0,8,5,3842.0,2713341,1
145.0,82,56.0,71,18,3842.0,2713341,1
134.0,33,104.0,88,18,3566.0,3965652,1
44.0,11,29.0,22,3,1296.0,210805,0
16.0,10,6.0,9,1,463.0,1419286,1
16.0,1,3.0,2,0,463.0,1419286,1
22.0,9,7.0,5,0,646.0,175323,0
100.0,33,46.0,62,9,2722.0,141928,0
140.0,29,64.0,64,11,3729.0,2922059,1
133.0,30,73.0,83,18,3562.0,965323,0
16.0,7,3.0,20,0,543.0,365257,0
76.0,20,34.0,27,3,2069.0,333949,0
117.0,43,53.0,51,5,3204.0,234808,0
157.0,119,92.0,98,36,4239.0,626155,0
118.0,56,43.0,72,11,3154.0,2869880,1
23.0,34,29.0,25,3,608.0,1356670,1
104.0,52,53.0,42,11,2692.0,1669748,1
6.0,2,5.0,8,1,260.0,198019,0
105.0,35,39.0,46,8,2766.0,356434,0
7.0,3,1.0,0,0,179.0,1584153,1
9.0,4,0.0,2,0,234.0,2673258,1
139.0,50,84.0,107,32,3734.0,247523,0
51.0,20,32.0,18,5,1378.0,306929,0
7.0,0,0.0,3,0,234.0,225741,0
69.0,21,25.0,47,7,1738.0,1366331,1
147.0,41,55.0,38,17,3895.0,3960382,1
147.0,20,28.0,22,7,3895.0,3960382,1
137.0,29,72.0,59,19,3510.0,1267322,1
2.0,1,0.0,3,0,54.0,198019,0
113.0,58,42.0,72,9,2978.0,2887780,1
70.0,11,30.0,26,5,1896.0,1089105,1
114.0,25,59.0,56,11,2971.0,495047,0
54.0,23,10.0,14,2,1330.0,2376229,1
55.0,31,24.0,24,3,1444.0,237622,0
0.0,0,0.0,1,0,9.0,198019,0
97.0,30,26.0,39,4,2593.0,2277219,1
97.0,20,5.0,20,0,2593.0,2277219,1
1.0,1,0.0,1,0,54.0,198019,0
41.0,10,7.0,19,0,1168.0,237622,0
93.0,28,49.0,48,12,2536.0,287127,0
110.0,32,37.0,46,3,3012.0,237622,0
12.0,8,1.0,3,0,321.0,198019,0
28.0,12,12.0,13,1,960.0,378711,0
12.0,5,6.0,7,1,274.0,201979,0
34.0,15,16.0,16,3,898.0,410889,0
32.0,2,0.0,1,0,811.0,306929,0
32.0,8,10.0,21,2,811.0,306929,0
70.0,11,37.0,30,5,1907.0,693066,0
96.0,88,60.0,64,20,2540.0,306929,0
100.0,46,57.0,49,11,2622.0,1207916,1
122.0,28,38.0,48,3,3144.0,425741,0
161.0,82,84.0,78,21,4219.0,2607252,1
90.0,106,51.0,68,15,2378.0,1485143,1
122.0,63,44.0,46,8,3229.0,410889,0
46.0,15,13.0,15,0,1276.0,1980191,1
152.0,87,63.0,89,6,4022.0,3762363,1
143.0,48,89.0,89,21,3805.0,940590,0
39.0,5,0.0,3,0,999.0,1821775,1
39.0,15,10.0,4,1,999.0,1821775,1
157.0,65,73.0,71,14,4143.0,2425734,1
12.0,7,8.0,3,0,288.0,1178213,1
22.0,13,5.0,18,1,695.0,346533,0
23.0,5,6.0,8,0,617.0,247523,0
133.0,43,56.0,62,7,3559.0,3366325,1
0.0,4,3.0,1,0,3.0,198019,0
134.0,52,67.0,56,7,3641.0,257424,0
151.0,75,51.0,70,5,3999.0,594057,0
105.0,25,45.0,38,7,2813.0,495047,0
38.0,12,14.0,21,2,1046.0,495047,0
45.0,13,5.0,16,1,1161.0,207920,0
86.0,16,53.0,40,15,2423.0,198019,0
52.0,61,58.0,58,12,1250.0,2722763,1
15.0,3,0.0,8,0,432.0,198019,0
90.0,46,33.0,35,8,2487.0,1292074,1
82.0,41,41.0,35,8,2175.0,3465334,1
15.0,4,2.0,4,0,458.0,346533,0
15.0,0,0.0,2,0,458.0,346533,0
23.0,5,6.0,8,1,666.0,198019,0
128.0,46,70.0,54,24,3393.0,3795367,1
95.0,19,43.0,47,5,2569.0,2227715,1
4.0,2,2.0,5,1,102.0,198019,0
97.0,52,18.0,41,1,2596.0,1947187,1
16.0,1,9.0,7,4,423.0,806927,0
63.0,22,32.0,28,7,1713.0,198019,0
1.0,1,0.0,0,0,51.0,198019,0
40.0,24,21.0,26,4,1320.0,396038,0
28.0,2,3.0,3,1,732.0,1336629,1
28.0,2,6.0,4,0,732.0,1336629,1
113.0,44,44.0,57,11,3044.0,1148510,1
90.0,0,0.0,0,0,2419.0,613859,0
90.0,28,45.0,65,12,2419.0,613859,0
129.0,51,74.0,85,14,3359.0,1831676,1
112.0,61,65.0,65,18,2910.0,3465334,1
147.0,45,56.0,54,4,3964.0,1980191,1
35.0,3,5.0,5,0,958.0,198019,0
35.0,4,2.0,7,0,958.0,198019,0
40.0,8,9.0,7,1,1057.0,198019,0
152.0,26,58.0,61,1,4078.0,1980191,1
129.0,33,51.0,76,1,3554.0,198019,0
50.0,16,20.0,30,6,1435.0,213860,0
26.0,24,43.0,29,16,578.0,1089105,1
26.0,2,3.0,4,2,578.0,1089105,1
29.0,10,11.0,22,1,1093.0,1039600,1
72.0,10,24.0,18,4,1886.0,198019,0
39.0,37,58.0,43,13,828.0,332672,0
137.0,33,70.0,72,15,3765.0,198019,0
135.0,55,54.0,48,5,3633.0,198019,0
0.0,0,0.0,0,0,3.0,198019,0
15.0,5,9.0,6,1,381.0,396038,0
35.0,8,20.0,22,5,828.0,386137,0
54.0,21,26.0,27,1,1800.0,198019,0
139.0,42,100.0,72,27,3493.0,4158401,1
144.0,15,66.0,73,17,3743.0,2475239,1
120.0,17,38.0,36,1,3214.0,227721,0
146.0,59,82.0,72,9,3946.0,643562,0
0.0,3,0.0,1,0,0.0,594057,0
26.0,14,10.0,5,1,706.0,415840,0
26.0,0,2.0,1,1,706.0,415840,0
56.0,27,17.0,22,2,1629.0,613859,0
104.0,19,47.0,44,12,2689.0,1089105,1
152.0,50,100.0,116,40,3948.0,3069296,1
65.0,28,27.0,34,6,1721.0,326731,0
1.0,1,1.0,10,0,30.0,207920,0
97.0,50,21.0,63,2,2548.0,366335,0
42.0,7,16.0,21,0,1198.0,792076,0
10.0,2,0.0,3,0,258.0,198019,0
38.0,14,19.0,21,4,1162.0,1039600,1
90.0,19,46.0,35,5,2460.0,643562,0
121.0,60,86.0,84,24,3142.0,4158401,1
114.0,24,55.0,67,10,2987.0,643562,0
28.0,2,8.0,6,1,682.0,1009897,1
28.0,10,18.0,13,3,682.0,1009897,1
154.0,49,67.0,85,7,4032.0,1485143,1
2.0,0,0.0,0,0,75.0,205939,0
2.0,0,0.0,0,0,75.0,205939,0
76.0,21,36.0,50,7,1989.0,226731,0
34.0,10,13.0,10,0,1060.0,1287124,1
107.0,37,52.0,34,8,2829.0,212870,0
128.0,53,78.0,59,16,3499.0,1237619,1
26.0,13,17.0,10,2,835.0,297028,0
53.0,24,16.0,12,3,1471.0,683165,0
21.0,0,7.0,5,2,450.0,277226,0
21.0,1,1.0,1,0,450.0,277226,0
144.0,61,71.0,95,25,3807.0,396038,0
31.0,14,17.0,20,3,1041.0,668314,0
4.0,2,2.0,2,1,84.0,198019,0
118.0,25,66.0,60,9,3157.0,227721,0
66.0,16,47.0,46,7,1913.0,198019,0
0.0,1,3.0,1,1,6.0,231682,0
39.0,14,20.0,18,1,1066.0,841581,0
134.0,72,50.0,92,6,3540.0,613859,0
140.0,26,40.0,47,1,3549.0,376236,0
39.0,14,8.0,7,1,960.0,3465334,1
152.0,63,75.0,77,14,4003.0,1955438,1
12.0,31,70.0,62,12,327.0,1108907,1
57.0,27,22.0,28,1,1462.0,1287124,1
27.0,1,0.0,2,0,822.0,336632,0
27.0,14,8.0,18,3,822.0,336632,0
15.0,4,4.0,4,1,433.0,198019,0
134.0,49,95.0,76,22,3486.0,1633657,1
22.0,21,14.0,12,2,634.0,198019,0
4.0,0,3.0,3,1,102.0,495047,0
44.0,7,16.0,16,2,1125.0,554453,0
115.0,21,55.0,46,14,3053.0,1386133,1
104.0,20,55.0,58,12,2872.0,1188114,1
23.0,33,26.0,21,2,607.0,1039600,1
17.0,5,8.0,8,0,417.0,198019,0
139.0,90,132.0,104,51,3679.0,2475239,1
59.0,17,27.0,32,9,1581.0,198019,0
99.0,19,38.0,46,7,2692.0,1188114,1
36.0,6,9.0,15,4,957.0,742571,0
36.0,3,15.0,8,2,957.0,742571,0
88.0,48,32.0,39,5,2349.0,1640729,1
25.0,12,16.0,13,2,722.0,226731,0
109.0,48,51.0,64,14,2912.0,2772267,1
53.0,4,8.0,12,3,1339.0,1287124,1
53.0,20,32.0,21,8,1339.0,1287124,1
4.0,1,0.0,2,0,117.0,202969,0
4.0,1,1.0,0,0,117.0,202969,0
143.0,99,55.0,97,8,3824.0,1716166,1
22.0,6,4.0,8,0,573.0,693066,0
66.0,24,52.0,40,10,1530.0,1326728,1
140.0,68,89.0,71,14,3640.0,3564344,1
77.0,30,46.0,32,9,1941.0,1064352,1
117.0,74,60.0,75,18,3112.0,3564344,1
35.0,3,5.0,10,0,1140.0,316830,0
35.0,7,8.0,13,0,1140.0,316830,0
145.0,53,42.0,53,4,3830.0,475245,0
140.0,48,51.0,52,4,3748.0,475245,0
2.0,0,0.0,0,0,48.0,198019,0
34.0,10,11.0,12,1,945.0,247523,0
88.0,46,64.0,44,22,2326.0,3930679,1
110.0,71,32.0,49,6,2862.0,1849498,1
110.0,8,5.0,10,1,2862.0,1849498,1
3.0,2,0.0,3,0,116.0,198019,0
3.0,1,0.0,1,0,116.0,198019,0
13.0,8,11.0,7,0,348.0,198019,0
32.0,15,12.0,10,1,820.0,1237619,1
5.0,5,8.0,5,0,150.0,1584153,1
120.0,24,37.0,44,2,3174.0,1980191,1
18.0,9,5.0,8,0,606.0,198019,0
1.0,0,2.0,3,1,63.0,198019,0
21.0,6,10.0,3,1,602.0,693066,0
21.0,1,2.0,0,0,602.0,693066,0
21.0,0,1.0,0,0,602.0,693066,0
95.0,26,55.0,42,10,2477.0,1485143,1
36.0,20,4.0,15,1,1057.0,554453,0
40.0,17,9.0,11,0,1005.0,3762363,1
109.0,56,87.0,82,14,2842.0,4465331,1
124.0,42,51.0,61,5,3377.0,940590,0
97.0,44,78.0,74,28,2534.0,1980191,1
103.0,25,58.0,37,6,2732.0,207920,0
43.0,9,23.0,21,2,1151.0,198019,0
14.0,5,9.0,8,2,477.0,198019,0
66.0,33,20.0,43,5,1841.0,227721,0
49.0,39,57.0,57,8,1262.0,1311876,1
153.0,67,38.0,91,6,3950.0,1982666,1
25.0,2,8.0,7,0,690.0,198019,0
130.0,39,51.0,60,3,3419.0,1574252,1
49.0,20,19.0,12,1,1275.0,1435638,1
49.0,3,10.0,6,1,1275.0,1435638,1
52.0,36,60.0,41,15,1248.0,3267315,1
16.0,2,3.0,5,0,428.0,198019,0
75.0,10,21.0,20,2,1883.0,2277219,1
81.0,30,42.0,49,2,2174.0,1584153,1
150.0,33,91.0,74,20,3753.0,2706262,1
126.0,68,94.0,81,27,2956.0,1188114,1
33.0,23,15.0,13,2,944.0,990095,0
6.0,0,0.0,0,0,153.0,198019,0
6.0,1,1.0,3,0,153.0,198019,0
80.0,39,38.0,59,8,2005.0,2640256,1
15.0,6,8.0,15,2,755.0,297028,0
136.0,29,35.0,38,1,3464.0,1980191,1
18.0,7,22.0,19,5,600.0,247523,0
6.0,0,1.0,1,0,162.0,920788,0
1.0,0,1.0,0,0,30.0,198019,0
103.0,29,29.0,61,2,2763.0,287127,0
19.0,6,13.0,12,0,617.0,891086,0
150.0,82,95.0,96,26,3855.0,4977612,1
13.0,4,7.0,7,1,447.0,198019,0
106.0,13,9.0,15,1,2757.0,1732667,1
106.0,32,21.0,37,1,2757.0,1732667,1
132.0,51,52.0,62,13,3452.0,2673258,1
124.0,55,66.0,46,12,3207.0,2442235,1
91.0,46,36.0,42,3,2517.0,267325,0
57.0,0,2.0,2,0,1605.0,990095,0
57.0,10,20.0,22,4,1605.0,990095,0
121.0,48,71.0,59,23,3137.0,891086,0
0.0,0,0.0,0,0,15.0,227721,0
28.0,21,18.0,17,6,680.0,693066,0
10.0,3,12.0,11,0,288.0,1089105,1
0.0,12,5.0,7,1,9.0,475245,0
151.0,36,85.0,61,16,3929.0,990095,0
121.0,24,38.0,38,7,3228.0,1650158,1
127.0,26,40.0,64,5,3303.0,1386133,1
1.0,0,2.0,0,0,27.0,198019,0
