playerID,yearID,ADJ Salary,GS,InnOuts,PO,A,E,DP,G,AB,R,H,twoB,threeB,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abbotje01,1999.5,12.817946796158495,34.0,887.0,71.0,0.5,2.0,0.0,53.5,139.5,18.5,36.75,8.0,0.5,4.25,20.25,1.5,1.25,9.5,21.25,0.5,0.75,1.25,1.75,2.25
abbotku01,1997.1,13.326749452433148,54.7,1460.2,101.6,135.6,9.1,29.6,70.2,204.4,27.3,52.3,10.9,2.3,6.2,24.2,2.2,1.1,13.3,57.1,1.1,1.7,2.1,1.2,3.7
abercre01,2006.0,12.947526540083011,67.0,1862.0,176.0,3.0,5.0,1.0,111.0,255.0,39.0,54.0,12.0,2.0,5.0,24.0,6.0,5.0,18.0,78.0,2.0,3.0,4.0,1.0,2.0
abernbr01,2002.6666666666667,12.849162516552513,43.0,1167.6666666666667,93.0,124.0,4.666666666666667,31.0,43.0,165.66666666666666,16.333333333333332,38.0,6.0,1.3333333333333333,0.6666666666666666,13.333333333333334,3.6666666666666665,1.3333333333333333,8.666666666666666,16.333333333333332,0.0,2.0,3.3333333333333335,0.6666666666666666,3.3333333333333335
abnersh01,1990.1666666666667,12.463545117374615,40.5,1204.0,116.83333333333333,2.0,0.3333333333333333,0.5,62.666666666666664,132.16666666666666,14.0,29.666666666666668,6.0,0.5,1.5,10.666666666666666,0.8333333333333334,1.3333333333333333,6.833333333333333,24.166666666666668,1.6666666666666667,1.1666666666666667,0.8333333333333334,1.1666666666666667,2.3333333333333335
abreubo01,2005.0,15.668489752589254,125.38888888888889,3287.6111111111113,237.27777777777777,8.222222222222221,4.166666666666667,1.3888888888888888,129.55555555555554,462.5,80.0,135.11111111111111,31.333333333333332,3.2777777777777777,15.944444444444445,74.88888888888889,22.166666666666668,7.111111111111111,80.77777777777777,100.88888888888889,6.388888888888889,1.8333333333333333,0.3888888888888889,4.611111111111111,8.944444444444445
abreujo02,2015.0,16.087044491267093,125.33333333333333,3330.0,1055.0,71.0,9.0,112.0,152.66666666666666,597.6666666666666,78.33333333333333,179.0,33.666666666666664,2.0,30.333333333333332,102.66666666666667,1.0,1.0,45.666666666666664,132.0,11.0,13.666666666666666,0.0,4.666666666666667,17.0
abreuto01,2012.3333333333333,13.307267382673123,21.0,587.3333333333334,30.666666666666668,50.333333333333336,4.333333333333333,10.333333333333334,45.666666666666664,111.66666666666667,12.333333333333334,27.333333333333332,7.666666666666667,1.3333333333333333,1.0,9.0,0.6666666666666666,1.0,3.3333333333333335,26.666666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,4.666666666666667
ackledu01,2014.1666666666667,14.799766357208902,87.83333333333333,2386.3333333333335,189.16666666666666,99.66666666666667,2.1666666666666665,24.166666666666668,90.83333333333333,298.6666666666667,37.0,70.16666666666667,13.0,1.8333333333333333,6.666666666666667,30.0,4.166666666666667,2.0,25.666666666666668,56.666666666666664,1.5,0.8333333333333334,1.8333333333333333,1.5,3.6666666666666665
adamecr01,2016.0,13.216614815120812,43.0,1245.0,68.0,138.0,6.0,24.0,121.0,225.0,25.0,49.0,7.0,3.0,2.0,17.0,2.0,3.0,24.0,47.0,0.0,4.0,3.0,0.0,5.0
adamsda02,2013.0,13.304568260725532,38.0,1020.0,56.0,76.0,1.0,12.0,43.0,140.0,10.0,27.0,5.0,1.0,2.0,13.0,0.0,0.0,9.0,43.0,0.0,2.0,1.0,0.0,4.0
adamsma01,2014.5,13.529562290700028,76.5,2035.75,662.75,58.25,5.25,68.25,107.0,323.75,38.0,88.0,18.75,1.25,13.25,49.25,1.0,1.0,21.0,79.0,1.75,1.25,0.0,2.75,6.0
adamsru01,2005.5,12.970177955619612,94.0,2543.5,147.0,256.0,19.0,52.0,114.5,366.0,49.5,89.0,20.5,3.0,5.5,45.5,6.0,2.0,36.0,49.0,0.5,2.0,3.0,5.5,5.0
adducji02,2014.0,13.213512183417969,24.0,659.0,73.0,2.0,0.0,0.0,44.0,101.0,13.0,17.0,3.0,0.0,1.0,8.0,3.0,1.0,10.0,27.0,0.0,0.0,1.0,2.0,2.0
adriaeh01,2015.0,13.217500208170502,15.0,464.0,21.5,51.5,2.0,8.0,46.5,80.0,6.5,19.5,4.0,0.0,1.0,6.0,0.5,1.0,3.5,17.5,0.5,1.5,3.0,0.5,1.0
afenitr01,1991.0,12.29186024339636,6.0,188.5,35.0,1.0,0.0,0.5,15.0,24.0,1.5,4.0,0.5,1.0,0.0,3.0,0.0,0.0,2.5,9.0,0.0,0.0,0.5,0.5,0.0
agbaybe01,2000.8,13.10799509855479,65.2,1602.8,110.6,2.0,2.8,0.0,74.4,215.2,28.8,59.4,11.4,1.2,7.8,31.2,3.2,2.8,27.6,48.2,1.4,3.0,0.2,1.6,6.0
aguaylu01,1987.1666666666667,13.441287312576776,45.5,1330.1666666666667,72.5,135.33333333333334,8.666666666666666,22.5,65.5,140.16666666666666,16.166666666666668,32.166666666666664,5.5,1.0,4.833333333333333,12.666666666666666,0.6666666666666666,0.5,12.0,29.5,1.5,2.8333333333333335,1.8333333333333333,1.8333333333333333,4.166666666666667
aguilch01,2005.5,12.946292279255124,15.0,489.0,39.5,1.5,0.0,0.0,56.0,86.5,8.0,20.5,5.5,0.5,0.0,5.5,1.0,1.0,6.0,22.5,0.5,0.0,0.0,0.0,1.0
